,Goals,Expected,Launched,Passes,Goal Kicks,Crosses,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,1,25.0,22,2,1,4,0,21.9,0.24,-0.1,0.00,117,339,34.5,780,108,34.1,31.0,128,57.0,42.3,271,35,12.9,38,1.52,15.9
Aston Villa,2,25.0,38,1,1,1,0,35.3,0.34,-2.7,-0.11,106,254,41.7,759,85,25.7,29.4,172,34.3,30.9,337,39,11.6,24,0.96,14.1
Bournemouth,3,25.0,29,2,1,3,0,39.1,0.30,+10.1,+0.40,132,326,40.5,585,103,37.9,33.7,190,54.7,42.6,323,16,5.0,38,1.52,15.6
Brentford,2,25.0,42,1,0,2,2,39.3,0.26,-0.7,-0.03,165,453,36.4,988,87,35.8,34.0,222,44.6,37.4,412,32,7.8,26,1.04,11.8
Brighton,2,25.0,38,6,1,4,2,33.4,0.30,-2.6,-0.10,86,251,34.3,826,97,25.5,25.1,151,26.5,24.7,293,21,7.2,39,1.56,15.4
Chelsea,2,25.0,34,5,0,2,0,34.2,0.25,+0.2,+0.01,64,271,23.6,844,143,29.7,31.4,135,14.8,19.1,248,31,12.5,47,1.88,15.3
Crystal Palace,1,25.0,32,1,0,2,2,32.3,0.32,+2.3,+0.09,98,395,24.8,609,75,48.6,38.3,196,50.5,41.8,370,19,5.1,31,1.24,14.8
Everton,1,25.0,31,0,0,6,0,33.4,0.31,+2.4,+0.09,214,556,38.5,851,108,53.3,41.0,186,54.8,44.4,366,21,5.7,50,2.00,16.2
Fulham,1,25.0,33,1,0,4,1,29.4,0.29,-2.6,-0.10,80,238,33.6,766,100,23.9,28.7,170,32.4,29.6,321,18,5.6,23,0.92,13.1
Ipswich Town,3,25.0,50,5,0,2,0,49.2,0.33,-0.8,-0.03,121,357,33.9,694,122,35.7,35.2,197,55.3,41.9,382,50,13.1,22,0.88,7.6
Leicester City,3,25.0,55,1,0,3,2,53.0,0.37,0.0,0.00,133,433,30.7,746,127,45.3,32.0,216,44.0,33.6,414,24,5.8,25,1.00,20.7
Liverpool,3,25.0,24,0,0,1,0,25.9,0.30,+1.9,+0.08,70,216,32.4,674,106,27.0,26.1,148,23.0,24.5,239,9,3.8,38,1.52,15.3
Manchester City,2,25.0,35,3,0,2,1,35.2,0.36,+1.2,+0.05,89,196,45.4,813,92,20.8,28.8,124,21.8,24.4,227,11,4.8,39,1.56,17.5
Manchester Utd,1,25.0,35,3,0,9,1,35.5,0.33,+1.5,+0.06,83,309,26.9,831,105,29.7,29.4,154,40.3,32.1,276,16,5.8,17,0.68,11.6
Newcastle Utd,2,25.0,33,0,0,2,1,34.5,0.31,+2.5,+0.10,56,233,24.0,599,154,22.9,25.2,174,55.2,43.2,345,31,9.0,42,1.68,15.3
Nott'ham Forest,1,25.0,29,1,1,4,0,32.4,0.29,+3.4,+0.14,170,471,36.1,433,55,76.9,45.3,215,64.2,46.0,457,16,3.5,6,0.24,7.9
Southampton,3,25.0,57,4,0,9,0,54.7,0.32,-2.3,-0.09,155,432,35.9,830,119,42.9,30.0,197,38.6,32.6,360,27,7.5,20,0.80,18.0
Tottenham,4,25.0,37,2,0,3,2,39.7,0.35,+4.7,+0.19,36,107,33.6,670,122,14.6,27.2,192,4.7,15.4,335,31,9.3,29,1.16,11.1
West Ham,2,25.0,47,3,1,5,3,41.2,0.30,-2.8,-0.11,153,405,37.8,762,109,37.0,35.4,219,56.2,42.0,388,17,4.4,26,1.04,13.7
Wolves,2,25.0,54,6,1,10,3,42.6,0.31,-8.4,-0.34,109,382,28.5,691,101,45.0,36.6,168,42.3,35.0,396,27,6.8,39,1.56,13.4
