,SCA,SCA Types,GCA,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Arsenal,24,25.0,600,24.00,453,52,29,40,18,8,87,3.48,64,9,2,8,3,1
Aston Villa,28,25.0,571,22.84,395,62,35,44,24,11,62,2.48,49,3,2,4,3,1
Bournemouth,28,25.0,701,28.04,535,48,33,42,25,18,76,3.04,51,5,4,5,10,1
Brentford,27,25.0,521,20.84,394,42,28,24,24,9,76,3.04,55,6,4,4,6,1
Brighton,30,25.0,607,24.28,445,45,39,32,37,9,65,2.60,50,2,6,3,3,1
Chelsea,27,25.0,710,28.40,543,38,42,45,26,16,81,3.24,56,3,8,7,5,2
Crystal Palace,27,25.0,581,23.24,419,51,22,47,33,9,52,2.08,32,6,3,7,4,0
Everton,25,25.0,480,19.20,359,41,28,18,25,9,41,1.64,25,3,4,2,4,3
Fulham,26,25.0,651,26.04,490,51,31,47,19,13,68,2.72,51,3,4,3,4,3
Ipswich Town,32,25.0,404,16.16,278,48,33,15,22,8,34,1.36,25,2,3,2,2,0
Leicester City,28,25.0,399,15.96,293,35,29,19,20,3,44,1.76,30,3,5,3,3,0
Liverpool,24,25.0,758,30.32,585,43,52,48,17,13,106,4.24,87,2,6,6,5,0
Manchester City,27,25.0,752,30.08,601,46,46,35,18,6,88,3.52,66,3,8,8,1,2
Manchester Utd,27,25.0,599,23.96,459,50,25,32,23,10,45,1.80,29,3,3,3,3,4
Newcastle Utd,24,25.0,614,24.56,470,45,29,28,28,14,74,2.96,62,4,3,1,3,1
Nott'ham Forest,23,25.0,545,21.80,379,53,30,45,26,12,66,2.64,42,7,3,5,6,3
Southampton,33,25.0,442,17.68,314,37,34,32,19,6,31,1.24,19,2,3,6,0,1
Tottenham,31,25.0,644,25.76,478,44,46,47,22,7,79,3.16,60,5,7,5,1,1
West Ham,27,25.0,587,23.48,408,52,39,51,25,12,40,1.60,21,4,2,10,3,0
Wolves,27,25.0,469,18.76,349,33,34,21,18,14,62,2.48,51,2,5,1,0,3
