,Performance,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,24,25.0,54,4,2,280,266,57,507,159,251,2,2,0,964,325,307,51.4
Aston Villa,28,25.0,53,2,1,294,330,34,415,168,249,3,2,0,954,249,267,48.3
Bournemouth,28,25.0,64,0,0,339,254,45,537,241,282,7,2,0,1251,353,419,45.7
Brentford,27,25.0,36,1,0,197,226,51,446,192,259,4,1,2,1087,420,374,52.9
Brighton,30,25.0,55,1,1,298,283,27,457,207,265,1,6,2,1098,330,306,51.9
Chelsea,27,25.0,73,1,1,295,298,43,416,181,244,3,6,0,1031,261,257,50.4
Crystal Palace,27,25.0,48,1,0,269,279,43,414,213,312,2,2,2,1163,367,451,44.9
Everton,25,25.0,53,2,1,289,257,63,422,231,289,0,2,0,1048,391,368,51.5
Fulham,26,25.0,55,2,0,276,257,31,584,220,253,3,1,1,1051,330,352,48.4
Ipswich Town,32,25.0,65,3,3,292,255,37,324,220,222,2,5,0,972,351,351,50.0
Leicester City,28,25.0,58,0,0,276,257,41,400,213,288,2,1,2,994,346,360,49.0
Liverpool,24,25.0,54,2,1,299,243,36,483,204,261,5,1,0,1087,284,226,55.7
Manchester City,27,25.0,46,1,1,180,248,29,443,151,196,2,3,1,941,203,210,49.2
Manchester Utd,27,25.0,59,2,1,277,239,53,385,268,319,3,4,1,1141,296,311,48.8
Newcastle Utd,24,25.0,49,1,0,259,316,54,442,191,252,3,0,1,1112,300,296,50.3
Nott'ham Forest,23,25.0,55,2,2,262,284,64,384,232,279,3,1,0,1037,375,367,50.5
Southampton,33,25.0,70,3,0,311,297,34,392,201,256,2,4,0,949,320,257,55.5
Tottenham,31,25.0,47,1,1,276,320,42,538,210,291,1,2,2,1144,281,297,48.6
West Ham,27,25.0,58,3,2,291,254,51,412,217,263,2,3,3,1059,384,372,50.8
Wolves,27,25.0,57,2,2,336,263,50,351,209,312,0,7,3,1082,286,304,48.5
