,Pass Types,Corner Kicks,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Arsenal,24,25.0,12922,11836,1029,286,50,57,507,406,162,149,3,2,10784,57,184
Aston Villa,28,25.0,12014,10858,1122,387,63,36,415,334,166,110,18,1,9975,34,231
Bournemouth,28,25.0,10725,9567,1113,268,40,51,537,448,153,113,11,3,8164,45,209
Brentford,27,25.0,11511,10420,1040,255,44,40,446,382,114,90,2,0,9020,51,195
Brighton,30,25.0,12696,11611,1058,341,50,53,457,375,128,80,28,1,10524,27,203
Chelsea,27,25.0,14462,13331,1088,349,59,66,416,395,150,99,9,2,12291,43,202
Crystal Palace,27,25.0,10812,9696,1073,303,45,39,414,399,118,68,18,0,8171,43,203
Everton,25,25.0,9729,8562,1104,290,25,56,422,474,98,54,23,10,7340,63,210
Fulham,26,25.0,13343,12188,1124,316,30,78,584,448,132,54,57,0,10959,31,223
Ipswich Town,32,25.0,9888,8835,1016,281,34,41,324,365,98,75,12,1,7720,37,202
Leicester City,28,25.0,11602,10426,1135,299,43,30,400,451,89,60,15,2,9250,41,208
Liverpool,24,25.0,14412,13264,1112,303,42,91,483,452,160,100,36,1,12111,36,211
Manchester City,27,25.0,16061,14977,1055,297,58,57,443,390,185,88,24,2,14187,29,236
Manchester Utd,27,25.0,13671,12589,1029,264,53,76,385,426,125,70,24,9,11318,53,242
Newcastle Utd,24,25.0,12452,11218,1180,346,63,64,442,459,143,93,13,2,10151,54,224
Nott'ham Forest,23,25.0,9362,8248,1050,294,36,35,384,378,109,57,46,0,7036,64,191
Southampton,33,25.0,12914,11847,1033,327,37,39,392,320,108,70,23,0,10891,34,194
Tottenham,31,25.0,13803,12490,1271,374,46,48,538,453,190,86,39,0,11470,42,313
West Ham,27,25.0,11545,10429,1065,276,41,92,412,383,115,58,47,0,9187,51,217
Wolves,27,25.0,11212,10083,1079,316,39,87,351,434,82,51,22,2,8932,50,214
